//==============================================================================================================================================//
//	MuDevs.com
//	Version: S20.1-1
//	Update: Sep/24/2024
//	Editor: OMEGA
//==============================================================================================================================================//
//Index	ItemName	ItemType	ItemIndex	Level	NameColor	NameBold	SellBan	Desc1Idx	1Color	1Bold	Desc2Idx	2Color	2Bold	Desc3Idx	3Color	3Bold	Desc4Idx	4Color	4Bold	Desc5Idx	5Color	5Bold	Desc6Idx	6Color	6Bold	Desc7Idx	7Color	7Bold	Desc8Idx	8Color	8Bold	Desc9Idx	9Color	9Bold	Desc10Idx	10Color	10Bold	Desc11Idx	11Color	11Bold
9	"Huy Chương Bạc"	14	11	5	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
10	"Huy Chương Vàng"	14	11	6	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
11	"Hộp Thiên Đường"	14	11	7	3	1	1	287	0	0	288	0	0	289	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
12	"Hộp Kundun +1"	14	11	8	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
13	"Hộp Kundun +2"	14	11	9	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
14	"Hộp Kundun +3"	14	11	10	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
15	"Hộp Kundun +4"	14	11	11	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
16	"Hộp Kundun +5"	14	11	12	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
17	"Trái Tim Ma Vương"	14	11	13	3	1	1	40	0	0	286	2	0	196	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
18	"Túi May Mắn Xanh"	14	11	14	3	1	1	290	0	0	291	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
19	"Túi May Mắn Đỏ"	14	11	15	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
20	"Cuộn Dịch Chuyển Thành"	14	10	0	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
21	"Cuộn Dịch Chuyển Lorencia"	14	10	1	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
22	"Cuộn Dịch Chuyển Noria"	14	10	2	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
23	"Cuộn Dịch Chuyển Devias"	14	10	3	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
24	"Cuộn Dịch Chuyển Dungeon"	14	10	4	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
25	"Cuộn Dịch Chuyển Atlans"	14	10	5	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
26	"Cuộn Dịch Chuyển Tháp Mất Tích"	14	10	6	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
27	"Cuộn Dịch Chuyển Tarkan"	14	10	7	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
28	"Cuộn Dịch Chuyển Icarus"	14	10	8	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
29	"Zen"	14	12	0	0	1	0	188	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
30	"Trái Tim"	14	12	1	0	1	0	188	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
31	"Trái Cây Năng Lượng (ENG)"	13	15	0	3	1	0	293	0	0	298	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
32	"Trái Cây Thể Lực (STA)"	13	15	1	3	1	0	294	0	0	299	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
33	"Trái Cây Nhanh Nhẹn (AGI)"	13	15	2	3	1	0	295	0	0	300	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
34	"Trái Cây Sức Mạnh (STR)"	13	15	3	3	1	0	296	0	0	301	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
35	"Trái Cây Chỉ Huy (CMD)"	13	15	4	3	1	0	297	0	0	302	0	0	96	5	0	98	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
36	"Lông Vũ Loch"	13	14	0	3	1	0	303	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
//discontinued by Webzen	""																																							
37	"Huy Hiệu Hoàng Tộc"	13	14	1	3	1	0	710	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
38	"Rena"	14	21	0	3	1	1	349	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
39	"Đá"	14	21	1	3	1	1	305	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
40	"Đá Tình Bạn"	14	21	2	3	1	1	306	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
41	"Dấu Hiệu Lãnh Chúa"	14	21	3	3	1	0	307	0	0	2	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
42	"Trượng Tuyệt Đối Tổng Lãnh Thiên Thần"	13	19	0	0	1	1	195	0	0	344	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
43	"Kiếm Tuyệt Đối Tổng Lãnh Thiên Thần"	13	19	1	0	1	1	195	0	0	344	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
44	"Nỏ Tuyệt Đối Tổng Lãnh Thiên Thần"	13	19	2	0	1	1	195	0	0	344	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
45	"Nhẫn Pháp Sư"	13	20	0	3	1	1	8	0	0	68	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
46	"Nhẫn Chiến Binh"	13	20	1	3	1	1	308	0	0	196	2	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
47	"Nhẫn Dũng Sĩ"	13	20	2	3	1	1	309	0	0	196	2	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
48	"Nhẫn Vinh Quang"	13	20	3	3	1	0	8	0	0	68	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
49	"Bình Bless"	14	7	0	0	1	0	310	5	0	311	5	0	312	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
50	"Bình Soul"	14	7	1	0	1	0	313	5	0	314	5	0	348	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
51	"Cung Thủ"	13	7	2	0	1	0	346	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
52	"Lính Thương"	13	7	3	0	1	0	347	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
53	"Cuộn Hộ Vệ"	13	11	0	0	1	0	315	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
54	"Đá Sinh Mệnh"	13	11	1	0	1	0	316	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
55	"Bia"	14	9	0	0	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
56	"Trái Ô Liu Tình Yêu"	14	9	1	0	1	0	1518	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
57	"Linh Hồn Hắc Mã"	13	31	0	0	1	0	317	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
58	"Linh Hồn Hắc Tinh Linh"	13	31	1	0	1	0	318	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
59	"Ngọc Bí Ẩn"	12	26	0	3	1	0	287	0	0	319	0	0	289	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
60	"Pha Lê Đỏ"	12	26	1	3	1	0	320	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
61	"Pha Lê Xanh"	12	26	2	3	1	0	320	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
62	"Pha Lê Đen"	12	26	3	3	1	0	320	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
63	"Rương Báu"	12	26	4	3	1	0	40	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
64	"Món Quà Định Mệnh"	12	26	5	3	1	0	40	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
65	"Hộp Socola Hồng"	14	32	0	0	1	0	549	1	0	755	0	0	756	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
66	"Hộp Kẹo Tím"	14	32	1	0	1	0	549	1	0	755	0	0	756	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
67	"Hộp Socola Đỏ"	14	33	0	0	1	0	549	1	0	755	0	0	756	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
68	"Hộp Kẹo Cam"	14	33	1	0	1	0	549	1	0	755	0	0	756	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
69	"Hộp Socola Xanh"	14	34	0	0	1	0	549	1	0	755	0	0	756	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
70	"Hộp Kẹo Xanh Đậm"	14	34	1	0	1	0	549	1	0	755	0	0	756	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
71	"Thuốc Tình Yêu"	14	20	0	0	1	0	1604	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
72	"Hộp Kỷ Niệm +1"	14	20	1	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
73	"Hộp Kỷ Niệm +2"	14	20	2	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
74	"Hộp Kỷ Niệm +3"	14	20	3	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
75	"Hộp Kỷ Niệm +4"	14	20	4	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
76	"Hộp Kỷ Niệm +5"	14	20	5	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
77	"Bùa Dịch Chuyển"	13	70	0	0	1	1	115	1	0	-1	0	0	328	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
78	"Bùa Dịch Chuyển +1"	13	70	1	0	1	1	115	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
79	"Bùa Dịch Chuyển +2"	13	70	2	0	1	1	115	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
80	"Đạn Nỏ"	4	7	0	0	1	0	2	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
81	"Đạn Nỏ +1"	4	7	1	0	1	0	2	0	0	324	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
82	"Đạn Nỏ +2"	4	7	2	0	1	0	2	0	0	325	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
83	"Đạn Nỏ +3"	4	7	3	0	1	0	2	0	0	326	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
84	"Tên"	4	15	0	0	1	0	2	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
85	"Tên +1"	4	15	1	0	1	0	2	0	0	324	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
86	"Tên +2"	4	15	2	0	1	0	2	0	0	325	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
87	"Tên +3"	4	15	3	0	1	0	2	0	0	326	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
88	"Sừng Fenrir"	13	37	0	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	330	3	0	177	1	0	-1	0	0	-1	0	0	-1	0	0
89	"Sừng Fenrir + Hủy Diệt"	13	37	1	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	332	1	0	25	1	0	330	3	0	177	1	0	-1	0	0
90	"Sừng Fenrir + Phòng Hộ"	13	37	2	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	350	1	0	25	1	0	330	3	0	177	1	0	-1	0	0
91	"Sừng Fenrir + Ảo Ảnh"	13	37	3	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	334	1	0	335	1	0	336	4	0	330	3	0	177	1	0
92	"Nhẫn Hóa Rồng Budge"	13	10	0	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
93	"Nhẫn Hóa Khổng Lồ"	13	10	1	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
94	"Nhẫn Hóa Chiến Binh Xương"	13	10	2	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
95	"Nhẫn Hóa Ngưu Độc"	13	10	3	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
96	"Nhẫn Hóa Lich Sấm Sét"	13	10	4	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
97	"Nhẫn Hóa Bò Tử Thần"	13	10	5	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
98	"Ngọc Triệu Hồi Goblin"	12	11	0	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
99	"Ngọc Triệu Hồi Người Đá"	12	11	1	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
100	"Ngọc Triệu Hồi Sát Thủ"	12	11	2	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
101	"Ngọc Triệu Hồi Yeti Tinh Nhuệ"	12	11	3	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
102	"Ngọc Triệu Hồi Dark Knight"	12	11	4	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
103	"Ngọc Triệu Hồi Bali"	12	11	5	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
104	"Ngọc Triệu Hồi Lính"	12	11	6	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
//Custom MuDevs	""																																							
105	"Cuộn Lãng Quên Xám"	13	155	0	3	1	1	372	0	0	373	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
106	"Cuộn Lãng Quên Đen"	13	155	1	3	1	1	1003	0	0	373	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
end																																								
