//==============================================================================================================================================//																																																											
//	MuDevs.com                                                                                                                                  																																																										
//	Season: S20.2-1                                                                                                                             																																																										
//	Update: Apr/22/2025                                                                                                                         																																																										
//	Editor: OMEGA 																																																										
//==============================================================================================================================================//																																																											
//ID	Name	Lvl	Dmg	Mana	BP	Range	Delay	ReqEne	ReqStr	ReqDex	ReqComd	ReqVity	Element	TypeEle	UseType	Brand	KillCount	ReqStatus0	ReqStatus1	ReqStatus2	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK	AL	Rank	Group	ReqMLevelPoint	Stamina	SD	Duration	IconNumber	SkillType	WeaponSkill	isDamage	BuffIndexTarget	Target	TargetArea	ObstacleTarget	ChasingWithinRange	Vehicle	CheckEquipment	DivisionStat0	DivisionValue0	DivisionStat1	DivisionValue1	ImprintValue	AddDamage	DamageClassification
10	"Hỏa Ngục"	60	120	160	0	3	0	260	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	10	0	0	2	0	1	1	0	1	0	0	3	200	-1	-1	130	0	0
12	"Tia Nước"	74	80	140	0	6	0	345	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	12	0	0	2	0	1	0	0	0	0	0	3	200	-1	-1	140	0	0
16	"Lá Chắn Linh Hồn"	77	0	70	22	6	0	408	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	4	3	0	0	0	0	0	-1	-1	-1	-1	100	0	0
13	"Sao Băng"	80	70	150	0	6	0	500	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	3	150	-1	-1	130	0	0
15	"Dịch Chuyển Đồng Đội"	83	0	90	25	6	0	644	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	15	0	0	0	0	3	0	2	0	0	0	-1	-1	-1	-1	100	0	0
14	"Địa Ngục Hỏa"	88	100	200	0	4	0	724	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	14	0	0	2	0	1	1	0	1	0	0	3	90	-1	-1	110	0	0
39	"Bão Băng"	93	80	100	5	6	0	849	0	0	0	0	6	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	39	0	0	2	0	1	0	0	0	0	0	3	90	-1	-1	115	0	0
38	"Suy Tàn"	96	95	110	7	6	0	953	0	0	0	0	6	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	38	0	0	2	0	1	0	0	0	0	0	3	100	-1	-1	110	0	0
40	"Vụ Nổ"	100	0	180	45	6	0	1052	0	0	0	0	6	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	40	0	0	2	0	1	1	0	1	0	0	-1	-1	-1	-1	160	0	0
45	"Thương"	0	90	150	10	6	0	0	0	0	0	0	0	-1	0	75	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
18	"Phòng Thủ"	0	0	30	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	0	0	1	1	0	1	0	1	-1	-1	-1	-1	100	0	0
19	"Chém Rơi"	0	0	9	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	1	0	0	0	0	0	0	1	1	30	-1	-1	180	0	0
20	"Đâm Tới"	0	0	9	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	1	1	0	0	0	0	0	0	1	1	30	-1	-1	170	0	0
21	"Thượng Cước"	0	0	8	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	0	1	1	0	0	0	0	0	0	1	1	30	-1	-1	190	0	0
22	"Xoáy"	0	0	9	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	22	0	1	1	0	0	0	0	0	0	1	1	30	-1	-1	165	0	0
23	"Chém"	0	0	10	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	1	1	0	0	0	0	0	0	1	1	30	-1	-1	185	0	0
41	"Chém Xoáy"	0	0	10	10	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	0	0	1	0	1	1	0	1	0	2	1	40	-1	-1	150	0	0
49	"Hơi Thở Lửa"	110	30	9	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	-1	-1	-1	-1	150	0	0
48	"Tăng Sinh Lực"	120	0	22	24	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0	8	2	1	0	1	0	0	-1	-1	-1	-1	100	0	0
43	"Đâm Tử Thần"	160	70	15	3	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	0	0	0	0	0	2	1	150	-1	-1	105	0	0
42	"Cuồng Nộ"	170	60	25	20	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	42	0	0	1	0	1	0	2	1	0	2	1	150	-1	-1	125	0	0
44	"Chém Trăng Lưỡi Liềm"	0	90	22	15	4	0	0	0	0	0	0	0	-1	0	75	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	2	-1	-1	-1	-1	100	0	0
24	"Bắn Ba Mũi"	0	0	5	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	1	1	0	1	0	0	0	0	1	2	100	-1	-1	160	0	0
26	"Hồi Máu"	8	0	20	0	6	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	6	0	4	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
27	"Phòng Thủ Cao Cấp"	13	0	30	0	6	0	72	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	4	2	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
28	"Sát Thương Cao Cấp"	18	0	40	0	6	0	92	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	4	1	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
52	"Xuyên Thấu"	130	70	7	9	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	1	0	1	0	2	0	0	5	2	200	-1	-1	130	0	0
51	"Mũi Tên Băng"	0	105	10	12	8	0	0	0	646	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	1	0	0	0	0	0	0	5	2	150	-1	-1	115	0	0
46	"Mưa Sao"	0	120	20	15	8	0	0	0	0	0	0	0	-1	0	75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	5	-1	-1	-1	-1	100	0	0
30	"Triệu Hồi Goblin"	0	0	40	0	6	0	30	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
31	"Triệu Hồi Người Đá"	0	0	70	0	6	0	60	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
32	"Triệu Hồi Sát Thủ"	0	0	110	0	6	0	90	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
33	"Triệu Hồi Yeti Tinh Nhuệ"	0	0	160	0	6	0	130	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
34	"Triệu Hồi Dark Knight"	0	0	200	0	6	0	170	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
35	"Triệu Hồi Bali"	0	0	250	0	6	0	210	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
36	"Triệu Hồi Lính"	0	0	350	0	6	0	300	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
55	"Chém Lửa"	0	80	17	12	3	0	0	596	0	0	0	6	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	1	0	1	0	2	0	0	2	1	150	-1	-1	105	0	0
56	"Chém Mạnh"	0	0	15	0	5	0	0	0	0	0	0	6	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	1	1	0	1	0	2	0	0	1	1	100	-1	-1	125	0	0
57	"Chém Xoắn Ốc"	0	75	20	15	5	0	0	0	0	0	0	0	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	3	-1	-1	-1	-1	100	0	0
73	"Tia Mana"	0	85	130	7	6	0	0	0	0	0	0	0	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	6	-1	-1	-1	-1	100	0	0
50	"Ngọn Lửa Tà Ác (Quái)"	60	120	160	0	0	0	260	0	0	0	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
60	"Lực"	0	10	10	0	4	0	15	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	1	40	-1	-1	160	0	0
61	"Bùng Nổ Lửa"	74	150	8	0	6	0	79	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	1	0	0	0	0	0	0	0	1	80	-1	-1	135	0	0
62	"Chấn Động Đất"	0	150	0	50	10	10000	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	1	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
63	"Triệu Hồi"	98	0	70	30	0	30000	153	0	0	400	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0	0
64	"Tôn Nghiêm"	82	0	50	50	0	10000	102	0	0	300	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	1	0	0	5	2	1	0	1	0	0	-1	-1	-1	-1	100	0	0
65	"Gai Điện"	92	250	10	12	10	500	126	0	0	340	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	1	0	0	0	0	0	0	0	1	100	-1	-1	125	1	0
66	"Sóng Lực"	0	70	10	0	4	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	1	1	0	0	0	0	0	0	0	1	40	-1	-1	160	0	0
74	"Vụ Nổ Lửa"	0	150	30	10	6	0	0	0	0	0	0	0	-1	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
78	"Tiếng Gào Lửa"	102	180	10	3	6	0	150	0	0	70	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	1	0	1	0	2	0	0	0	1	100	-1	-1	130	0	0
79	"Vụ Nổ"	0	0	0	0	2	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
67	"Làm Choáng"	0	0	70	50	2	0	0	0	0	0	0	0	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	67	2	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	100	0	0
68	"Hủy Choáng"	0	0	25	30	0	0	0	0	0	0	0	0	-1	1	0	2	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	68	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
69	"Tăng Mana"	0	0	35	30	0	0	0	0	0	0	0	0	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	69	1	0	0	9	2	1	0	1	0	0	-1	-1	-1	-1	100	0	0
70	"Tàng Hình"	0	0	80	60	0	0	0	0	0	0	0	0	-1	1	0	5	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	70	1	0	0	0	2	1	0	1	0	0	-1	-1	-1	-1	100	0	0
71	"Hủy Tàng Hình"	0	0	40	30	0	0	0	0	0	0	0	0	-1	1	0	2	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	71	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
72	"Hủy Phép"	0	0	90	70	0	0	0	0	0	0	0	0	-1	1	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
76	"Bão Plasma"	110	60	50	20	6	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	2	1	1	2	2	2	2	2	2	2	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
200	"Triệu Hồi Quái"	0	0	40	0	0	0	20	0	0	0	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
201	"Miễn Nhiễm Tấn Công Phép"	0	0	40	0	0	0	20	0	0	0	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
202	"Miễn Nhiễm Tấn Công Vật Lý"	0	0	40	0	0	0	20	0	0	0	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
203	"Thuốc Bless"	0	0	40	0	0	0	20	0	0	0	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
204	"Thuốc Soul"	0	0	40	0	0	0	20	0	0	0	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
77	"Mũi Tên Vô Hạn"	220	0	50	10	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	0	6	2	1	0	1	0	0	-1	-1	-1	-1	100	0	0
210	"Phép Bảo Hộ"	0	0	30	0	0	60000	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	210	1	0	0	0	2	1	0	0	0	0	-1	-1	-1	-1	100	0	0
211	"Phép Hạn Chế"	0	0	30	0	3	60000	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	211	2	0	0	0	0	0	0	1	0	0	-1	-1	-1	-1	100	0	0
212	"Phép Truy Đuổi"	0	0	30	0	0	120000	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	212	0	0	0	0	2	0	0	0	0	0	-1	-1	-1	-1	100	0	0
213	"Thiêu Đốt Khiên"	0	0	30	0	3	60000	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	213	0	0	0	0	0	0	0	1	0	0	-1	-1	-1	-1	100	0	0
214	"Hút Sinh Lực"	35	35	50	0	6	0	150	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	2	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
219	"Ngủ"	40	0	20	3	6	0	180	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	2	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0	0
223	"Vụ Nổ"	50	40	35	0	4	500	300	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	3	0	1	0	2	0	0	11	3	150	-1	-1	120	0	0
215	"Sét Liên Hoàn"	75	70	85	0	6	0	245	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	2	0	0	0	0	0	0	0	3	200	-1	-1	105	0	0
224	"Khúc Cầu Hồn"	75	65	60	4	4	800	416	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	3	0	1	0	2	0	0	11	3	150	-1	-1	125	0	0
217	"Phản Sát Thương"	80	0	40	10	5	5000	375	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	1	0	0	71	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
225	"Ô Nhiễm"	85	80	70	8	4	500	542	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	3	0	1	0	2	0	0	11	3	150	-1	-1	125	0	0
230	"Sốc Điện"	93	95	115	7	6	0	823	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	1	0	2	0	0	0	3	200	-1	-1	105	0	0
218	"Cuồng Nộ"	83	0	100	50	5	5000	300	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	1	0	0	81	2	1	0	1	0	10	-1	-1	-1	-1	100	0	0
221	"Suy Yếu"	93	0	50	15	8	30000	663	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	221	2	0	0	0	1	0	2	0	0	11	-1	-1	-1	-1	100	0	0
222	"Cải Tiến"	111	0	50	15	8	30000	663	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	222	2	0	0	0	1	0	2	0	0	11	-1	-1	-1	-1	100	0	0
232	"Đòn Hủy Diệt"	100	110	30	24	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	1	0	2	1	0	2	1	150	-1	-1	135	0	0
233	"Khuếch Đại Phép Thuật"	220	0	200	50	6	0	1058	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	233	1	0	0	82	2	1	0	1	0	0	-1	-1	-1	-1	100	0	0
234	"Hồi Phục"	100	0	40	10	6	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	6	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0	0
235	"Bắn Nhiều Mũi"	100	40	10	7	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	1	0	1	0	0	0	0	5	2	200	-1	-1	105	0	0
236	"Đòn Lửa"	100	140	20	25	3	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	1	0	1	0	2	0	0	2	1	200	-1	-1	135	0	0
237	"Cơn Bão Khổng Lồ"	220	110	120	10	6	0	1058	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	2	0	1	0	2	0	0	0	3	250	-1	-1	115	0	0
238	"Hỗn Loạn"	100	220	12	4	6	0	84	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	1	0	1	0	2	0	0	0	1	80	-1	-1	130	1	0
