//==============================================================================================================================================//									
//	MuDevs.com								
//	Version: S20.2-3								
//	Update: May/29/2025								
//	Editor: OMEGA								
//	UTF-8								
//==============================================================================================================================================//									
//[Index]	[ViewportID]	[ItemType]	[ItemIndex]	[Name]	[Type]	[notice]	[Cleartype]	[Explanation]	[BuffOutputValue]
0									
29	60	13	43	"Seal of Ascension"	0	0	1	"Tăng EXP nhận được 50%"	0
30	61	13	44	"Seal of Wealth"	0	0	1	"Tăng EXP nhận được 100% / Tăng tỉ lệ rơi vật phẩm 150%"	0
31	62	13	45	"Seal of Sustenance"	0	0	1	"Ngừng nhận EXP"	0
32	22	255	255	"Đền thờ - Phép Tăng Tốc"	0	0	1	""	0
33	22	255	255	"Đền thờ - Phép Thăng Hoa"	0	0	1	""	0
34	22	255	255	"Phép Bảo Hộ"	0	1	1	"Hấp thụ sát thương 100%."	0
35	246	14	46	"[Boost] Phước lành Jack O'Lantern"	0	0	1	"Tốc độ tấn công +10"	0
36	247	14	47	"[Reinforce] Cơn thịnh nộ Jack O'Lantern"	0	0	1	"Tăng Tấn công / Phép thuật / Nguyền rủa +40"	0
37	247	14	48	"[Reinforce] Tiếng khóc Jack O'Lantern"	0	0	1	"Phòng thủ +100"	0
38	246	14	49	"[Boost] Thức ăn Jack O'Lantern"	0	0	1	"HP tối đa +700"	0
39	246	14	50	"[Boost] Đồ uống Jack O'Lantern"	0	0	1	"MP tối đa +700"	0
40	60	13	43	"Seal of Ascension"	0	1	1	"Tăng EXP nhận được 50%"	0
41	61	13	44	"Seal of Wealth"	0	1	1	"Tăng EXP nhận được 100% / Tăng tỉ lệ rơi vật phẩm 150%"	0
42	65	13	45	"Seal of Sustenance"	0	1	1	"Ngừng nhận EXP"	0
43	57	13	59	"Seal of Mobility"	0	1	1	"Kích hoạt khả năng di chuyển"	0
44	67	14	72	"Scroll of Quickness"	0	1	1	"Tăng tốc độ tấn công +15"	0
45	68	14	73	"Scroll of Defense"	0	1	1	"Tăng phòng thủ +60"	0
46	69	14	74	"Scroll of Wrath"	0	1	1	"Tăng sức tấn công +30"	0
47	70	14	75	"Scroll of Wizardry"	0	1	1	"Tăng Phép thuật / Nguyền rủa +30"	0
48	71	14	76	"Scroll of Health"	0	1	1	"Tăng HP +200"	0
49	72	14	77	"Scroll of Mana"	0	1	1	"Tăng Mana +300"	0
50	26	14	78	"Elixir of Strength"	0	1	1	"Chỉ số Sức mạnh +50"	0
51	26	14	79	"Elixir of Agility"	0	1	1	"Chỉ số Nhanh nhẹn +50"	0
52	26	14	80	"Elixir of Health"	0	1	1	"Chỉ số Thể lực +50"	0
53	26	14	81	"Elixir of Energy"	0	1	1	"Chỉ số Năng lượng +50"	0
54	26	14	82	"Elixir of Control"	0	1	1	"Chỉ số Điều khiển +50"	0
55	27	255	255	"Độc"	1	1	1	"Trạng thái bị Nhiễm độc"	0
56	28	255	255	"Băng"	1	1	1	"Tốc độ di chuyển giảm."	0
57	29	255	255	"Mũi tên Băng"	1	1	1	"Vô hiệu hóa di chuyển"	0
58	30	255	255	"Giảm phòng thủ"	1	1	1	"Giảm ngẫu nhiên phòng thủ 10%."	0
59	31	255	255	"Giảm sức tấn công"	1	0	1	""	0
60	32	255	255	"Giảm gia tăng pháp thuật"	1	0	1	""	0
61	33	255	255	"Choáng"	1	1	1	"Vô hiệu hóa di chuyển"	0
62	34	255	255	"Phòng thủ Phép thuật"	1	0	1	""	0
63	35	255	255	"Kháng tấn công Phép thuật của Quái"	1	1	1	""	0
64	36	255	255	"Kháng tấn công Hóa học của Quái"	1	1	1	""	0
65	37	255	255	"Phép Hạn Chế"	1	1	1	"Vô hiệu hóa di chuyển"	0
66	38	255	255	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0	1	1	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0
67	38	255	255	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0	1	1	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0
68	38	255	255	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0	1	1	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0
69	38	255	255	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0	1	1	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0
70	38	255	255	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0	1	1	"Trạng thái Bảo hộ Thần thánh Cry Wolf"	0
71	39	255	255	"Phản sát thương"	0	1	1	"Phản xạ một phần sát thương."	0
72	40	255	255	"Ngủ"	1	1	1	"Ngủ trong thời gian ngắn"	0
73	40	255	255	"Mù"	1	1	1	"Tầm nhìn bị thu hẹp và độ chính xác tấn công giảm."	0
74	41	255	255	"Requiem"	1	1	1	"Đòn tấn công của Summoner Neil"	0
75	42	255	255	"Vụ nổ"	1	1	1	"Đòn tấn công của Summoner Shamut"	0
76	43	255	255	"Suy yếu"	1	1	1	"Giảm sức tấn công"	0
77	43	255	255	"Đổi mới"	1	1	1	"Giảm phòng thủ"	0
78	246	14	85	"[Boost] Rượu Hoa Anh Đào"	0	0	1	"MP tối đa +700"	0
79	246	14	86	"[Boost] Bánh Gạo Hoa Anh Đào"	0	0	1	"HP tối đa +700"	0
80	247	14	87	"[Upgrade] Cánh Hoa Anh Đào"	0	0	1	"Tấn công / Phép thuật / Nguyền rủa +40"	0
81	288	255	255	"Berserker"	0	1	1	"Tăng Phép thuật / Tốc độ tấn công, giảm Phòng thủ / HP tối đa"	0
// Buff Até level 400									
82	45	255	255	"Gia tăng Pháp lực"	0	1	1	"Tăng pháp thuật tối thiểu."	0
83	46	255	255	"Flame Strike"	1	1	1	""	0
84	47	255	255	"Gigantic Storm"	1	1	1	""	0
85	48	255	255	"Lightning Shock"	1	1	1	""	0
86	49	255	255	"Lạnh"	1	1	1	"Hiệu ứng lạnh gây bất lợi làm giảm tốc độ di chuyển."	0
87	13	13	62	"Seal of Healing"	0	0	1	"Tăng 50% EXP / Tự động hồi HP 5%"	0
88	13	13	63	"Seal of Divinity"	0	0	1	"Tăng 150% tỉ lệ rơi vật phẩm / Tự động hồi Mana 5%"	0
89	55	14	97	"Scroll of Battle"	0	1	1	"Tăng 20% sát thương chí mạng"	0
90	56	14	98	"Scroll of Strength"	0	1	1	"Tăng 20% sát thương hoàn hảo"	0
91	23	255	255	"Phước lành Giáng Sinh"	0	1	1	"Tăng Tấn công / Pháp thuật / Nguyền rủa / Phòng thủ"	0
92	23	255	255	"Santa Hồi phục"	0	1	1	"Tăng Sinh lực tối đa +500"	0
93	23	255	255	"Santa Bảo hộ"	0	1	1	"Tăng Mana tối đa +500"	0
94	23	255	255	"Santa Cường hóa"	0	1	1	"Tăng Tấn công / Pháp thuật / Nguyền rủa +30"	0
95	23	255	255	"Santa Phòng thủ"	0	1	1	"Phòng thủ +100"	0
96	23	255	255	"Santa Tăng tốc"	0	1	1	"Tốc độ tấn công +15"	0
97	23	255	255	"Santa May mắn"	0	1	1	"Tăng tốc độ hồi AG +10"	0
98	50	255	255	"Quan sát"	0	0	1	"Bạn có thể vào và theo dõi đấu tay đôi tại Đấu Trường."	0
99	52	13	81	"Bùa Hộ mệnh"	0	0	1	"Không bị phạt khi tử vong../Không có hiệu lực khi đang ở trạng thái Outlaw."	0
100	53	13	82	"Bùa Bảo vệ Vật phẩm"	0	0	1	"Giữ độ bền vật phẩm"	0
101	60	13	93	"Master Seal of Ascension"	0	0	1	"Tăng 50% EXP"	0
102	61	13	94	"Master Seal of Wealth"	0	0	1	"Tăng 50% EXP / Tăng 150% tỉ lệ rơi vật phẩm"	0
103	51	13	95	"Danh dự Gladiator"	0	0	1	"Tăng EXP 20% / Tăng tỉ lệ rơi vật phẩm hiếm / Chỉ dùng tại Vulcanus."	0
104	21	13	96	"Seal of Strength"	0	0	1	"Tăng Tỉ lệ Tấn công và Tỉ lệ Phòng thủ"	0
105	54	255	255	"Thăng hoa"	0	0	1	""	0
106	55	255	255	"Hình phạt PK"	1	0	1	"Hạn chế truy cập cửa sổ Lệnh Dịch Chuyển trong 5 phút."	0
107	56	255	255	"Bạn cảm thấy mệt mỏi."	1	0	1	"Tăng 50% EXP / Tăng 50% tỉ lệ rơi vật phẩm"	0
108	56	255	255	"Bạn cảm thấy kiệt sức."	1	0	1	"Tăng 50% EXP / 0% tỉ lệ rơi vật phẩm"	0
112	24	13	103	"Vật phẩm thưởng EXP Tổ đội"	0	1	1	"Tăng tối đa 30% EXP, tùy theo số lượng thành viên trong tổ đội."	0
113	58	13	104	"Hào quang Tăng AG Tối đa"	0	1	1	"Tăng AG tối đa."	0
114	58	13	105	"Hào quang Tăng SD Tối đa"	0	1	1	"Tăng SD tối đa."	0
115	56	13	117	"Sinh lực Tối thiểu"	0	0	1	"Tăng 100% EXP / 100% tỉ lệ rơi vật phẩm / Không giảm thể lực trong thời gian nhất định."	0
116	56	13	118	"Sinh lực Thấp"	0	0	1	"Tăng 100% EXP / 100% tỉ lệ rơi vật phẩm / Không giảm thể lực trong thời gian nhất định."	0
117	56	13	119	"Sinh lực Trung bình"	0	0	1	"Tăng 100% EXP / 100% tỉ lệ rơi vật phẩm / Không giảm thể lực trong thời gian nhất định."	0
118	56	13	120	"Sinh lực Cao"	0	0	1	"Tăng 100% EXP / 100% tỉ lệ rơi vật phẩm / Không giảm thể lực trong thời gian nhất định."	0
119	66	13	116	"Seal of Wealth"	0	0	1	"Tăng tỉ lệ rơi vật phẩm lên 150%."	0
120	59	255	255	"Hình phạt do sử dụng phần mềm trái phép"	1	0	1	"Tăng 50% EXP / 0% tỉ lệ rơi vật phẩm"	0
121	75	14	140	"Scroll of Healing"	0	1	1	"+3% hồi HP / +100 HP"	0
122	76	13	128	"Tượng Diều hâu"	0	1	1	"Sát thương chí mạng +10%"	0
123	76	13	129	"Tượng Dê"	0	1	1	"Sát thương hoàn hảo +10%"	0
124	77	13	130	"Bùa Sồi"	0	1	1	"Sinh lực tối đa +50"	0
125	77	13	131	"Bùa Phong"	0	1	1	"Mana tối đa +50"	0
126	77	13	132	"Bùa Sồi Vàng"	0	1	1	"Sinh lực tối đa +150 / SD tối đa +500"	0
127	77	13	133	"Bùa Phong Vàng"	0	1	1	"Mana tối đa +150 / AG tối đa +50"	0
128	78	13	134	"Móng ngựa Cũ"	0	1	1	"Tăng tỉ lệ rơi vật phẩm"	0
129	79	255	255	"Bỏ qua Phòng thủ của Kẻ địch"	0	1	1	"Tăng tỉ lệ bỏ qua phòng thủ của kẻ địch và gây sát thương."	0
130	80	255	255	"Tăng Sinh lực"	0	1	1	"Tăng chỉ số Sinh lực."	0
131	81	255	255	"Tăng Tỉ lệ Phòng thủ"	0	1	1	"Tăng tỉ lệ phòng thủ tối đa."	0
132	82	255	255	"Giảm tỉ lệ phòng thủ thành công"	1	0	1	"Giảm tỉ lệ phòng thủ thành công."	0
133	83	255	255	"Bất tử"	0	1	1	"Bất tử"	0
134	84	255	255	"Phòng thủ Sắt"	0	1	1	"Tăng mạnh phòng thủ và HP."	0
135	8	255	255	"Thành thạo Swell Life"	0	1	1	"Tăng Sinh lực và Mana tối đa."	0
136	8	255	255	"Tinh thông Swell Life"	0	1	1	"Tăng Sinh lực, Mana và AG tối đa."	0
137	85	255	255	"Chảy máu"	1	1	1	"HP giảm liên tục."	0
//Mastery 1									
138	45	255	255	"Gia tăng Pháp thuật"	0	1	1	"Tăng Pháp thuật tối thiểu và Pháp thuật tối đa."	0
//Mastery 2									
139	45	255	255	"Mở rộng Pháp lực"	0	1	1	"Tăng Wizardry tối thiểu, Wizardry tối đa và tỉ lệ sát thương chí mạng."	0
140	4	255	255	"Soul Barrier"	0	1	1	"Sử dụng Mana để hấp thụ sát thương và tăng Mana tối đa."	0
141	86	255	255	"Giảm tốc độ tấn công"	1	1	1	"Giảm tốc độ tấn công."	0
142	87	255	255	"Bless"	0	1	1	"Tăng tất cả chỉ số."	2
143	6	255	255	"Infinity Arrow"	0	0	1	"Không tiêu hao mũi tên và tăng sát thương."	0
144	88	255	255	"Mù"	0	1	1	"Bị mù./Giảm tỉ lệ đánh trúng."	0
145	89	255	255	"Hút máu"	1	1	1	"HP bị hút mỗi giây và chuyển sang mục tiêu."	0
146	90	255	255	"Đóng băng"	1	1	1	"Bị cố định khi bị đóng băng."	0
147	91	255	255	"Trói đất"	1	1	1	"Trói Đất"	0
148	5	255	255	"Tăng cường Lord of Dignity"	0	1	1	"Tăng tỉ lệ sát thương Chí mạng và Xuất sắc cho bạn và các thành viên trong party."	0
149	5	255	255	"Tăng sát thương chí mạng"	0	1	1	"Tăng sát thương chí mạng và tỉ lệ chí mạng,/ đồng thời tăng tỉ lệ sát thương xuất sắc."	0
150	288	255	255	"Berserker"	0	1	1	"Tăng Wizardry/Tốc độ tấn công, giảm Phòng thủ/HP tối đa."	0
151	288	255	255	"Berserker"	0	1	1	"Không sử dụng"	0
152	288	255	255	"Berserker"	0	1	1	"Tăng Wizardry/Tốc độ tấn công"	0
153	81	255	255	"Tăng tỉ lệ phòng thủ thành công"	0	1	1	"Tăng tỉ lệ phòng thủ thành công."	0
154	81	255	255	"Tăng tỉ lệ phòng thủ thành công"	0	1	1	"Tăng phòng thủ tối đa và tỉ lệ phòng thủ thành công."	0
155	80	255	255	"Tăng HP"	0	1	1	"Tăng HP."	0
156	79	255	255	"Bỏ qua phòng thủ của kẻ địch"	0	1	1	"Tăng tỉ lệ bỏ qua phòng thủ. Khi thành công, có cơ hội bỏ qua phòng thủ tăng thêm."	0
157	92	255	255	"Lửa"	1	1	1	"HP bị giảm mỗi giây do sát thương Lửa."	0
158	93	255	255	"Băng giá"	1	1	1	"HP bị giảm mỗi giây do sát thương Băng."	0
159	94	255	255	"Độc"	1	1	1	"HP bị giảm mỗi giây do sát thương Độc."	0
160	94	255	255	"Độc"	1	1	1	"HP bị giảm mỗi giây do sát thương Độc."	0
162	43	255	255	"Suy yếu"	1	1	1	"Giảm tỉ lệ tấn công."	0
163	44	255	255	"Đổi mới"	1	1	1	"Giảm tỉ lệ phòng thủ."	0
164	30	255	255	"Giảm phòng thủ"	1	1	1	"Giảm khả năng phòng thủ."	0
165	84	255	255	"Phòng thủ Sắt"	0	1	1	"Tăng mạnh tỉ lệ phòng thủ và HP."	0
166	95	255	255	"Huyết Gào"	0	1	1	"HP bị giảm mỗi giây."	0
167	95	255	255	"Tinh thông Huyết Gào"	0	1	1	"HP bị giảm mỗi giây."	0
169	96	255	255	"Xuyên giáp"	1	1	1	"Giảm phòng thủ và tỉ lệ phòng thủ thành công."	0
170	109	14	172	"Túi Ma thuật 1"	0	1	1	"Túi Ma Pháp 1"	0
171	110	14	173	"Túi Ma thuật 2"	0	1	1	"Túi Ma Pháp 2"	0
172	111	14	174	"Túi Ma thuật 3"	0	1	1	"Túi Ma Pháp 3"	0
173	112	14	175	"Túi Ma thuật 4"	0	1	1	"Túi Ma Pháp 4"	0
174	98	255	255	"Lửa"	1	0	1	"Tổng lượng SD giảm còn một nửa."	0
175	99	255	255	"Băng giá"	1	0	1	"Tổng lượng MP giảm còn một nửa."	0
176	100	255	255	"Lốc xoáy"	1	0	1	"Tốc độ tấn công giảm còn một nửa."	0
177	101	255	255	"Trói"	1	0	1	"Tổng lượng HP giảm còn một nửa."	0
178	102	255	255	"Bóng tối"	1	0	1	"Bạn không thể làm gì khi bị choáng."	0
179	103	255	255	"Tháp Lửa"	0	0	1	"ATK+25/EXP+20%/khi trang bị Lửa ATK&DEF+5%/tỉ lệ rơi set item (không bao gồm Debenter)"	0
180	104	255	255	"Tháp Nước"	0	0	1	"DEF+50/EXP+20%/khi trang bị Nước ATK&DEF+5%/tỉ lệ rơi set item (không bao gồm Debenter)"	0
181	105	255	255	"Tháp Đất"	0	0	1	"CRIT+5%/EXP+20%/khi trang bị Đất ATK&DEF+5%/tỉ lệ rơi set item (không bao gồm Debenter)"	0
182	106	255	255	"Tháp Gió"	0	0	1	"ATK+30/EXP+20%/khi trang bị Gió ATK&DEF+5%/tỉ lệ rơi set item (không bao gồm Debenter)"	0
183	107	255	255	"Tháp Bóng tối"	0	0	1	"Giảm sát thương nhận -10%/EXP+20%/khi trang bị Bóng tối ATK&DEF+5%/tỉ lệ rơi set item (không bao gồm Debenter)"	0
184	108	255	255	"Phạt Hồi sinh"	1	0	1	"Tốc độ di chuyển giảm trong một khoảng thời gian nhất định."	0
185	97	14	163	"Mở rộng Kho"	0	1	1	"Mở rộng Kho"	0
186	109	255	255	"Hỗn loạn"	1	0	1	"Tốc độ di chuyển giảm khi trúng đòn này."	0
187	255	255	255	"Thưởng EXP"	1	0	1	"EXP tăng 20%/có khả năng rơi set item."	0
190	115	13	177	"Bùa Thăng Cấp I"	0	0	1	"Nhận thêm 50% EXP"	0
191	115	13	178	"Bùa Thăng Cấp II"	0	0	1	"Nhận thêm 100% EXP"	0
192	115	13	179	"Bùa Thăng Cấp III"	0	0	1	"Nhận thêm 200% EXP"	0
193	60	13	180	"Seal of Ascension II"	0	0	1	"Nhận thêm 100% EXP"	0
194	60	13	181	"Master Seal of Ascension II"	0	0	1	"Nhận thêm 100% EXP (Dành cho Master Level)"	0
195	116	14	224	"Phước Ánh Sáng (Cao cấp)"	0	0	1	"Nhận thêm 200% EXP sau khi được ban phước nhanh"	0
196	68	14	225	"Cuộn Thầy Phòng Thủ"	0	0	1	"Phòng thủ +300"	0
197	70	14	226	"Cuộn Thầy Pháp Thuật"	0	0	1	"Tăng Wizardry/Nguyền rủa +150"	0
198	71	14	227	"Cuộn Thầy Sinh Lực"	0	0	1	"HP +1000"	0
199	72	14	228	"Cuộn Thầy Mana"	0	0	1	"MP +1500"	0
200	69	14	229	"Cuộn Thầy Thịnh Nộ"	0	0	1	"Sức tấn công +100"	0
201	75	14	230	"Cuộn Thầy Hồi Phục"	0	0	1	"Tự động hồi HP +4%, HP +500"	0
202	55	14	231	"Cuộn Thầy Chiến Đấu"	0	0	1	"Sát thương chí mạng +30%"	0
203	56	14	232	"Cuộn Thầy Tăng Cường"	0	0	1	"Sát thương xuất sắc +30%"	0
204	67	14	235	"Cuộn Thầy Tăng Tốc"	0	0	1	"Tăng tốc độ tấn công +20"	0
205	117	13	2	"Kèn Uniria"	0	1	1	"Triệu hồi Uniria để cưỡi."	0
206	117	13	3	"Kèn Dinorant"	0	1	1	"Triệu hồi Dinorant để cưỡi."	0
207	117	13	4	"Kèn Dark Horse"	0	1	1	"Triệu hồi Dark Horse để cưỡi."	0
208	117	13	37	"Kèn Fenrir"	0	1	1	"Triệu hồi Fenrir để cưỡi."	0
209	118	255	255	"Tê liệt"	1	1	1	"Giảm tốc độ di chuyển 50% do làm tê liệt chân."	0
210	118	255	255	"Tê liệt"	1	1	1	"Giảm tốc độ di chuyển 50% do làm tê liệt chân và gây sát thương liên tục."	0
211	119	255	255	"Quán Internet"	0	0	1	"EXP thêm/Chaos Castle tại PC Cafe/Truy cập Kalima/Cộng dồn điểm Goblin."	0
212	116	14	263	"Phước Ánh Sáng (Thấp)"	0	0	1	"Nhận phước lành trong thời gian ngắn, nhận thêm 50% EXP cơ bản."	0
213	116	14	264	"Phước Ánh Sáng (Trung)"	0	0	1	"Nhận phước lành trong thời gian ngắn, nhận thêm 100% EXP cơ bản."	0
214	120	255	255	"Né tránh"	0	1	1	"Tăng tỉ lệ đỡ đòn và miễn nhiễm hiệu ứng cố định."	0
215	119	255	255	"Quán Internet"	0	0	1	"EXP thêm/Chaos Castle tại PC Cafe/Truy cập Kalima/Cộng dồn điểm Goblin/Hệ thống Stamina bị vô hiệu."	0
216	121	255	255	"Khiên Tròn"	0	1	1	"Có cơ hội giảm AG của đối thủ 10."	0
217	122	255	255	"Hắc Diện Thạch"	0	1	1	"Tăng sát thương kỹ năng +%d"	1
218	123	255	255	"Thịnh Nộ"	0	1	1	"Giảm phòng thủ 30%, tăng sát thương 50%"	0
219	124	255	255	"Bộc Phát"	0	1	1	"Tăng tỉ lệ sát thương Thật"	0
220	122	255	255	"Tăng lực Hắc Diện Thạch"	0	1	1	"Tăng sát thương kỹ năng +%d"	1
221	121	255	255	"Tăng lực Khiên Tròn"	0	1	1	"Có cơ hội tăng hiệu ứng giảm AG thêm %d khi trúng đòn."	1
222	121	255	255	"Tinh thông Khiên Tròn"	0	1	1	"Có cơ hội tăng hiệu ứng giảm AG thêm %d khi trúng đòn."	1
223	123	255	255	"Tăng lực Thịnh Nộ"	0	1	1	"Giảm phòng thủ 30%, tăng sát thương 50%"	0
224	123	255	255	"Thành thạo Thịnh Nộ"	0	1	1	"Giảm phòng thủ 30%, tăng sát thương 50%"	0
225	123	255	255	"Tinh thông Thịnh Nộ"	0	1	1	"Tăng sát thương 50%"	0
226	226	255	255	"Tăng lực Bộc Phát"	0	1	1	"Tăng tỉ lệ sát thương Thật"	0
227	125	255	255	"Hiệu ứng Thành công Thức tỉnh"	0	0	1	"Đây là hiệu ứng Thành công Thức tỉnh Evomon."	0
228	126	255	255	"Hiệu ứng Thất bại Thức tỉnh"	0	0	1	"Đây là hiệu ứng Thất bại Thức tỉnh Evomon"	0
229	227	255	255	"Berserker"	0	1	1	"Tăng sát thương."	0
230	228	255	255	"Phân thân"	0	1	1	"Triệu hồi một bản sao."	0
231	229	255	255	"Xoay"	1	1	1	"Làm mục tiêu xoay vòng."	0
232	230	13	5	"Dark Raven"	0	0	1	"Triệu hồi Dark Raven."	0
237	115	13	476	"Hye Sung"	0	0	1	"hyesung"	0
238	235	255	255	"Pháo đài"	0	1	1	"Sát thương Nguyên Tố -90%."	0
239	236	255	255	"Xuất huyết"	1	1	1	"Gây sát thương Chảy máu mỗi giây."	0
240	237	255	255	"Tê liệt"	1	1	1	"Tốc độ di chuyển và hiệu ứng hồi phục bị giảm./ (giảm hiệu quả của Potion)"	0
241	238	255	255	"Trói buộc"	1	1	1	"Không thể di chuyển khi Sức mạnh Đất giữ chặt chân mục tiêu."	0
242	239	255	255	"Mù lòa"	1	1	1	"Làm mù mục tiêu và giảm tỉ lệ đánh trúng %d%."	1
243	240	255	255	"Miễn nhiễm I"	0	1	1	"Miễn nhiễm sát thương Nguyên Tố."	0
244	240	255	255	"Miễn nhiễm II"	0	1	1	"Miễn nhiễm mọi hiệu ứng Debuff."	0
245	241	255	255	"Mở rộng I"	0	1	1	"Tạm thời tăng mạnh sát thương Nguyên Tố và tỉ lệ tấn công Nguyên Tố."	0
246	242	255	255	"Ý chí của Archangel"	0	1	1	"Tăng sát thương tấn công và sát thương kỹ năng."	0
247	243	255	255	"Buff EXP Party Ferea"	0	1	1	"Tối đa thêm 10% EXP trên EXP cơ bản / 5% EXP bổ sung cho mỗi thành viên tổ đội."	0
248	244	255	255	"Phước lành của Lunedil"	0	0	1	"Tăng EXP Cấp 1: 5%"	0
249	244	255	255	"Phước lành của Lunedil"	0	0	1	"Tăng EXP Cấp 2: 10%"	0
250	244	255	255	"Phước lành của Lunedil"	0	0	1	"Tăng EXP Cấp 3: 15%"	0
251	244	255	255	"Phước lành của Lunedil"	0	0	1	"Tăng EXP Cấp 4: 25%"	0
252	244	255	255	"Phước lành của Lunedil"	0	0	1	"Tăng EXP Cấp 5: 35%"	0
253	116	14	371	"Phước lành Ánh sáng Ràng buộc (Cao cấp)"	0	0	1	"Nhận thêm 200% EXP sau khi được ban phước nhanh"	0
254	116	14	372	"Phước lành Ánh sáng Ràng buộc (Trung cấp)"	0	0	1	"Trong thời gian ngắn nhận phước lành, bạn nhận thêm 100% EXP cơ bản."	0
255	116	14	373	"Phước lành Ánh sáng Ràng buộc (Thấp cấp)"	0	0	1	"Trong thời gian ngắn nhận phước lành, bạn nhận thêm 50% EXP cơ bản."	0
256	246	14	432	"[Boost] Bí pháp Sinh lực"	0	0	1	"HP tối đa +700"	0
257	246	14	433	"[Boost] Bí pháp Năng lượng"	0	0	1	"MP tối đa +700"	0
258	246	14	434	"[Boost] Bí pháp Tốc độ"	0	0	1	"Tốc độ tấn công +10"	0
259	247	14	435	"[Reinforce] Bí pháp Cuồng nộ"	0	0	1	"Tấn công +40"	0
260	247	14	436	"[Reinforce] Bí pháp Pháp thuật"	0	0	1	"Tăng Pháp thuật / Nguyền rủa +40"	0
261	247	14	437	"[Reinforce] Bí pháp Phòng thủ"	0	0	1	"Phòng thủ +100"	0
262	247	14	438	"[Reinforce] Bí pháp Chiến đấu"	0	0	1	"Sát thương Chí mạng +85"	0
263	247	14	439	"[Reinforce] Bí pháp Sức mạnh"	0	0	1	"Sát thương Excellent +85"	0
264	256	255	255	"Tăng cường hiệu ứng tăng HP Greater Fortitude"	0	0	1	"Tăng cường hiệu ứng tăng HP của Greater Fortitude"	0
265	257	255	255	"Tăng khả năng giảm sát thương của Soul Barrier"	0	0	1	"Tăng khả năng giảm sát thương của Soul Barrier"	0
266	258	255	255	"Tăng cường hiệu ứng tăng sát thương Berserker"	0	0	1	"Tăng hiệu ứng gia tăng sát thương Berserker"	0
