//////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
// Text Ver. 0.0.3.4									
// Version 1.03y  - T서버									
// Version 1.03y  - M서버									
// 최종 작업자 - 박혜진									
// 최종 작업일 - 2016-06-28 10:45 AM									
// 내용: 도움말 시스템 개선 (UI 및 스크립트 개선)									
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
// 데이터 타입	출력 대기 시간(밀리초)								
updateTime	60000								
									
// 데이터 타입	최소레벨	최대레벨							
message	31	50	Bạn có thể nâng cấp vũ khí, giáp và cánh tối đa đến <font color='#FFBB00'>Level 9</font> bằng Jewel of Soul.						
//	31	50	Tỷ lệ thành công của Jewel of Soul là 50%. Nếu có tùy chọn Luck, tỷ lệ sẽ tăng thêm 25%.						
message	31	50	Sau khi Jewel of Soul thất bại, cấp độ vật phẩm có thể bị giảm.						
message	31	50	Bạn có thể lập tổ đội với người chơi khác bằng lệnh <font color='#FFBB00'>'/party'</font>.						
message	31	50	Tỷ lệ phòng thủ tăng 10% khi bạn trang bị đầy đủ cùng một bộ giáp.						
message	31	50	Vật phẩm Excellent là vật phẩm tốt hơn vật phẩm thường. Tên của chúng được hiển thị bằng <font color='#FFBB00'>màu xanh lá</font>.						
message	31	50	Phí sử dụng kho sẽ tăng khi cấp độ nhân vật cao hơn.						
message	31	50	Sát thương được hiển thị bằng <font color='#FFBB00'>màu xanh da trời</font> đối với Đòn Chí Mạng (DMG tối đa).						
message	31	50	Sát thương được hiển thị bằng <font color='#FFBB00'>màu xanh lá</font> đối với Đòn Excellent (120% DMG tối đa).						
message	31	50	Chaos Goblin thực hiện kết hợp vật phẩm tại Noria. Bạn có thể tìm NPC tại <font color='#FFBB00'>tọa độ (180, 102)</font>.						
message	31	50	Bạn có thể tạo Guild khi đạt <font color='#FFBB00'>Level 100</font>.						
message	31	50	Đội trưởng Vệ binh Hoàng gia Lorence hỗ trợ người chơi tạo Guild tại Devias. Bạn có thể tìm NPC tại <font color='#FFBB00'>tọa độ (215, 44)</font>.						
message	31	50	Alex bán vật phẩm cấp trung tại Lorencia. Bạn có thể tìm NPC tại <font color='#FFBB00'>tọa độ (63, 130)</font>.						
message	31	50	Lối đi từ Noria sang Atlans nằm tại <font color='#FFBB00'>tọa độ (240, 242)</font>.						
//	31	50	You can view or close personal shop titles with '/viewshop on'. '/viewshop off.'						
message	31	50	Bạn có thể kiểm tra thông tin nhiệm vụ bằng <font color='#FFBB00'>phím nóng T</font>.						
message	31	50	Có phí khi sử dụng kho, tùy theo cấp độ nhân vật.						
message	31	50	Giữ <font color='#FFBB00'>phím Shift</font> và di <font color='#FFBB00'>chuột lên vật phẩm</font> để mở tooltip so sánh trang bị.						
									
// 데이터 타입	최소레벨	최대레벨							
// 51~ 레벨 출력							
message	51	10000	Trong trường hợp bị hack/lừa đảo gây thiệt hại, vui lòng báo cho Bộ phận Hỗ Trợ Khách Hàng.						
message	51	10000	Bạn có thể tham gia Chaos Castle miễn phí mỗi ngày tại PC Cafe vào các khung giờ <font color='#FFBB00'>1:30, 3:30, 5:30, 7:30, 9:30, 11:30</font>.						
message	51	10000	GM MU sẽ không bao giờ hỏi tài khoản và mật khẩu của bạn. Vui lòng cẩn thận và không tiết lộ thông tin.						
//	51	10000	Bản đồ sự kiện mới 'Illusion Temple' đã được cập nhật! Mời tất cả Mutizen tham gia Illusion Temple! Vui lòng xem chi tiết trên website.						
message	51	10000	Bạn có thể kiểm tra thời gian vào các bản đồ sự kiện như Chaos Castle hoặc Blood Castle bằng <font color='#FFBB00'>phím T</font>.						
message	51	10000	Lahap phụ trách Kết Hợp / Phân Rã Ngọc. Bạn có thể tìm NPC tại Elbeland ở <font color='#FFBB00'>tọa độ (37, 247)</font>.						
message	51	10000	Silvia bán potion và mũi tên tại Elbeland. Bạn có thể tìm NPC tại <font color='#FFBB00'>tọa độ (44, 229)</font>.						
message	51	10000	Rhea bán vũ khí và giáp cho Summoner tại Elbeland. Bạn có thể tìm NPC tại <font color='#FFBB00'>tọa độ (29, 239)</font>.						
message	51	10000	Marce bán sách và giấy phép thuật cho Summoner tại Elbeland. Bạn có thể tìm NPC tại <font color='#FFBB00'>tọa độ (36, 219)</font>.						
message	51	10000	Vệ Binh An Toàn tại Elbeland nằm ở <font color='#FFBB00'>tọa độ (50, 229)</font>.						
message	51	10000	Mirage, NPC hỗ trợ vào Illusion Temple, nằm tại Loren Market. <font color='#FFBB00'>tọa độ (94, 137)</font>.						
message	51	10000	Shadow Phantom Soldier tại Elbeland nằm ở <font color='#FFBB00'>tọa độ (43, 191) (57, 232) (73, 220)</font>.						
//혼합 유료화 관련 도움말 추가										
message	51	10000	Bạn có thể mở bản đồ thế giới bằng <font color='#FFBB00'>phím Tab</font>.						
message	51	10000	Bạn có thể sử dụng Cửa Hàng Trong Game bằng <font color='#FFBB00'>phím nóng 'X'</font> hoặc nút <font color='#FFBB00'>'In-game Shop'</font> ở góc dưới bên trái.						
message	51	10000	Bạn có thể gia nhập 'Gens Duprian' hoặc 'Gens Vanert' khi đạt <font color='#FFBB00'>Level 50 trở lên</font>.						
message	51	10000	Một số khu vực trong game là Chiến Trường, và bạn cần tham gia Gens để vào các khu vực này.						
message	51	10000	Nhận nhiều nhiệm vụ phù hợp cấp độ tại Shadow Phantom Soldier ở mỗi thành phố.						
message	51	10000	Giữ <font color='#FFBB00'>phím Shift</font> và di chuột lên vật phẩm để xem so sánh với trang bị đang mặc.						
