//==============================================================================================================================================//																											
//	MuDevs.com																										
//	Version: S20.2-1																										
//	Update: Apr/22/2025																										
//	Editor: OMEGA																										
//	Changelog: RuneWizard ID 124 "* Magic Power(%)" 																										
//==============================================================================================================================================//																											
// Index	InfoNameColor		Type	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK	AL	Position	Sort	Value1Color	Value1Pre	Value1Post	Value2Color	Value2Pre	Value2Post	ButtonType
25	12	"* (+) HP"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	12	""	""	0	""	""	0
26	20	"* HP"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	3	""	""	0	""	""	0
27	20	"* SD"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	3	""	""	0	""	""	0
28	20	"* Tuyệt chiêu(%)"	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	25	3	""	"%"	0	""	""	0
29	20	"Năng lượng"	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	26	3	""	""	1	"(+"	")"	1
30	12	"* (+) Phép"	7	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	2	27	12	""	""	12	""	""	0
31	12	"* (+) Ng.rủa"	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	28	12	""	""	12	""	""	0
32	20	"* Phép thuật"	10	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	2	29	3	""	""	3	"(+"	")"	0
33	20	"* Nguyền rủa"	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	30	3	""	""	3	"(+"	")"	0
34	20	"* Mana"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	3	""	""	0	""	""	0
35	20	"* AG"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32	3	""	""	0	""	""	0
36	20	"* Tuyệt chiêu(%)"	10	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	2	33	3	""	"%"	0	""	""	0
37	20	"* Tuyệt chiêu(%)"	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	34	3	""	"%"	0	""	""	0
38	20	"* Div Atk Pwr(%)"	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	36	3	""	"%"	0	""	""	0
39	20	"* AOE Atk Pwr(%)"	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	37	3	""	"%"	0	""	""	0
40	20	"* Ret Atk Pwr(%)"	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	37	3	""	"%"	0	""	""	0
41	20	"* Rage Atk Pwr(%)"	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	38	3	""	"%"	0	""	""	0
124	20	"* Magic Power (%)"	10	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	40	3	""	"%"	0	""	""	0
125	20	"* Sức công(%)"	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	3	""	"%"	0	""	""	0
126	20	"* Sức công(%)"	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	6	3	""	"%"	0	""	""	0
127	20	"* Sức công(%)"	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	21	3	""	"%"	0	""	""	0
128	20	"* Sức công(%)"	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	21	3	""	"%"	0	""	""	0
129	20	"* Sức công(%)"	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	6	3	""	"%"	0	""	""	0
42	20	"Mệnh lệnh"	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	39	3	""	""	1	"(+"	")"	1
155	20	"* Combat Power"	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	40	3	""	"%"	0	""	""	0
43	20	"* Tỉ lệ chí mạng"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	0	3	""	"%"	0	""	""	0
44	20	"* Tăng S.thương chí mạng"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	7	3	"+"	""	0	""	""	0
45	20	"* Tỷ lệ STHH"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	""	"%"	0	""	""	0
46	20	"* Tăng STHH"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	8	3	"+"	""	0	""	""	0
47	20	"* Tăng t.công t.chiêu"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	3	"+"	""	0	""	""	0
48	20	"* x2 sát thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	""	"%"	0	""	""	0
49	20	"* Tỷ lệ xuyên giáp"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	""	"%"	0	""	""	0
50	20	"* Giảm tiêu hao AG"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	25	3	""	"%"	0	""	""	0
51	20	"* Giảm sát thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	""	"%"	0	""	""	0
52	20	"* Phản sát thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	13	3	""	"%"	0	""	""	0
53	20	"* Hồi Hp giết quái"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	17	3	""	""	0	""	""	0
54	20	"* Hồi mana giết quái"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	21	3	""	""	0	""	""	0
55	20	"* Hồi SD giết quái"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	27	3	""	""	0	""	""	0
56	20	"* Phục Hồi HP"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	16	3	""	""	0	""	""	0
57	20	"* Phục Hồi MP"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	20	3	""	""	0	""	""	0
58	20	"* Tăng S.thương vào SD(%)"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	30	3	""	"%"	0	""	""	0
59	20	"* Loại bỏ SD"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	32	3	""	"%"	0	""	""	0
60	20	"* Phục Hồi SD"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	26	3	""	""	0	""	""	0
61	20	"* Phục Hồi AG"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	24	3	""	""	0	""	""	0
62	20	"* Làm choáng"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	33	3	""	"%"	0	""	""	0
63	20	"* Kháng choáng"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	34	3	""	"%"	0	""	""	0
64	20	"* Hồi full MP"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	22	3	""	"%"	0	""	""	0
65	20	"* Hồi full HP"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	18	3	""	"%"	0	""	""	0
66	20	"* Hồi full SD"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	28	3	""	"%"	0	""	""	0
67	20	"* x3 sát thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	""	"%"	0	""	""	0
68	20	"* Hấp thụ S.thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	14	3	""	"%"	0	""	""	0
69	20	"* Khiên chặn S.thương"	9	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	37	3	""	"%"	0	""	""	0
70	20	"* V.khí chặn S.thương"	9	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	3	38	3	""	"%"	0	""	""	0
71	20	"* Khiên Hấp thụ S.thương"	9	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	36	3	""	""	0	""	""	0
72	20	"* Ph.thủ cơ bản"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	35	3	""	""	0	""	""	0
73	20	"* Hấp thụ S.thương vào HP"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	19	3	""	""	0	""	""	0
74	20	"* H.thụ S.thương vào SD"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	29	3	""	""	0	""	""	0
75	20	"* Phản Hồi S.thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	3	""	"%"	0	""	""	0
76	20	"* Giảm S.thương vào SD(%)"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	31	3	""	"%"	0	""	""	0
77	20	"* Tăng sát thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	9	3	""	"%"	0	""	""	0
78	20	"* Giảm tiêu hao MP"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	23	3	""	"%"	0	""	""	0
79	20	"* Tăng Zen"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	39	3	""	"%"	0	""	""	0
117	20	"* Giảm sát thương"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	12	3	""	""	0	""	""	0
131	20	"* Damage Correction"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	15	3	""	""	0	""	""	0
133	6	"* Nuke Attack Power Inc."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	41	3	""	""	0	""	""	0
134	6	"* Nuke CRIT DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	42	3	""	"%"	0	""	""	0
135	6	"* Nuke EXC DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	43	3	""	"%"	0	""	""	0
136	6	"* Nuke Double DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	44	3	""	"%"	0	""	""	0
137	6	"* Nuke Triple DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	45	3	""	"%"	0	""	""	0
139	6	"* Bolt Attack Power Inc."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	47	3	""	""	0	""	""	0
140	6	"* Bolt CRIT DMG Inc."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	48	3	""	"%"	0	""	""	0
141	6	"* Bolt EXC DMG Inc."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	49	3	""	"%"	0	""	""	0
142	6	"* Bolt Double DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	50	3	""	"%"	0	""	""	0
143	6	"* Bolt Triple DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	51	3	""	"%"	0	""	""	0
145	6	"* AoE ATK Power Inc."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	53	3	""	""	0	""	""	0
146	6	"* AoE CRIT DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	54	3	""	"%"	0	""	""	0
147	6	"* AoE EXC DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	55	3	""	"%"	0	""	""	0
148	6	"* AoE Double DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	56	3	""	"%"	0	""	""	0
149	6	"* AoE Triple DMG Prob."	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	57	3	""	"%"	0	""	""	0
150	6	"* Extra Damage Defense"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	58	3	""	""	0	""	""	0
152	6	"* Extra Damage Reduction"	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	60	3	""	""	0	""	""	0
80	20	"T.công thuộc tính"	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	0	3	""	""	3	""	""	0
81	20	"T.công thuộc tính PvP"	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	3	""	""	3	""	""	0
82	20	"Chính xác (PvP)"	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	3	""	""	3	"("	")"	0
83	20	"Ph.thủ (PvP)"	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	""	""	3	"("	")"	0
84	20	"Né tránh (PvP)"	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	3	""	""	3	"("	")"	0
85	20	"Thuộc tính thêm"	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	3	""	""	0	""	""	0
86	20	"Chí mạng Thuộc tính"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	3	""	"%"	0	""	""	0
87	20	"Tăng S.thương (PvE)"	12	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	12	3	""	"%"	0	""	""	0
88	20	"Tăng S.thương (PvP)"	12	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	13	3	""	"%"	0	""	""	0
89	20	"Hấp thụ (PvE)"	12	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	14	3	""	"%"	0	""	""	0
90	20	"Hấp thụ (PvP)"	12	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	15	3	""	"%"	0	""	""	0
91	20	"Hấp thụ vào SD"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	3	""	"%"	0	""	""	0
92	20	"Hấp thụ vào HPs"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	6	3	""	"%"	0	""	""	0
93	20	"Xuất huyết (Dmg)"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	7	3	""	""	0	""	""	0
94	20	"Choáng (Dur:sec)"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	8	3	""	""	0	""	""	0
95	20	"Trói (Dur:sec)"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	9	3	""	""	0	""	""	0
96	20	"Trừng phạt (Add Dmg)"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	10	3	""	"%"	0	""	""	0
97	20	"Mù (Redd Atk)"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	11	3	""	"%"	0	""	""	0
98	20	"Né tránh Thuộc tính (full)"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	3	""	"%"	0	""	""	0
99	20	"Tỷ lệ né thuộc tính"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	2	3	""	"%"	0	""	""	0
115	20	"Tăng t.công Thuộc tính"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	3	""	""	0	""	""	0
116	20	"Tăng p.thủ Thuộc tính"	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	3	""	""	0	""	""	0
100	3	"Mạnh hơn nhiều (Min)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	0	3	""	""	3	""	""	0
101	3	"Mạnh hơn nhiều (Max)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	3	""	""	3	""	""	0
102	3	"Mạnh hơn(Min)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	2	3	""	""	3	""	""	0
103	3	"Mạnh hơn(Max)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	3	""	""	3	""	""	0
104	3	"Cung cấp(Min)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	4	3	""	""	3	""	""	0
105	3	"Cung cấp(Max)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	5	3	""	""	3	""	""	0
106	3	"Yếu hơn(Min)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	3	""	""	3	""	""	0
107	3	"Yếu hơn(Max)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	3	""	""	3	""	""	0
108	3	"Yếu hơn nhiều(Min)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	8	3	""	""	3	""	""	0
109	3	"Yếu hơn nhiều(Max)"	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	9	3	""	""	3	""	""	0
110	3	"Mạnh hơn nhiều"	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	0	3	""	""	3	""	""	0
111	3	"Mạnh hơn"	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	3	""	""	3	""	""	0
112	3	"Cung cấp"	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	2	3	""	""	3	""	""	0
113	3	"Yếu hơn"	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	3	3	""	""	3	""	""	0
114	3	"Yếu hơn nhiều"	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	4	3	""	""	3	""	""	0
end																											
